Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,Notes,
PaidSocial_May2021_Placeholder 1,00670FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,5/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730170,,
PaidSocial_May2021_Placeholder 2,00671FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,5/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730173,,
PaidSocial_May2021_Placeholder 3,00672FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,5/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730174,,
PaidSocial_May2021_Placeholder 4,00673FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,5/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730175,,
PaidSocial_May2021_Placeholder 5,00674FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,5/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730177,,
PaidSocial_May2021_Placeholder 6,00675FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,5/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730179,,
PaidSocial_May2021_Placeholder 7,00676FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,5/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730183,,
PaidSocial_May2021_Placeholder 8,00677FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,5/1/2022,12/31/2022,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6730188,,
PaidSocial_MemorialDay2022_Placeholder1,00678FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730191,,
PaidSocial_MemorialDay2022_Placeholder2,00679FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730192,,
PaidSocial_MemorialDay2022_Placeholder3,00680FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730195,,
PaidSocial_MemorialDay2022_Placeholder4,00681FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730198,,
PaidSocial_MemorialDay2022_Placeholder5,00682FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730201,,
PaidSocial_MemorialDay2022_Placeholder6,00683FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730202,,
PaidSearch_MemorialDay2022_Placeholder1,00684FB,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730204,,
PaidSearch_MemorialDay2022_Placeholder2,00685FB,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,24.95,24.95,39,5/24/2022,5/30/2022,Memorial Day Special! Get 4 Bottles for $24.95!,6730205,,