 Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,Notes,URL (LM use)
Paid Social_WinterBlowOut,10773FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,12/12/2022,12/17/2022,Winter Blow Out! Get 4 bottles for $24.95 + shipping's on us!,6879351,KP,
Paid Social_OOOSpecial,10774FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,12/26/2022,12/31/2022,Out of Office Special! Get 4 bottles for $24.95 + shipping's on us!,6879359,LS,
Paid Social_NewYearsDay,10775FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,20.23,20.23,43.72,1/1/2023,1/1/2023,New Year's Day Special! Get 4 bottles for $20.23 + shipping's on us!,6879365,LS,
Paid Social_NewYearNewMe,10776FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,28.95,28.95,35,1/2/2023,1/14/2023,"New Year, New Me! Get 4 bottles of no-sugar wine for $28.95 + shipping's on us!",6879371,LS,
Paid Search_WinterBlowOut,62648GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/12/2022,12/17/2022,Winter Blow Out! Get 4 bottles for $24.95 + shipping's on us!,6879401,LS,
Paid Search_OOOSpecial,62649GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/26/2022,12/31/2022,Out of Office Special! Get 4 bottles for $24.95 + shipping's on us!,6879404,LS,
Paid Search_NewYearsDay,62650GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,20.23,20.23,43.72,1/1/2023,1/1/2023,New Year's Day Special! Get 4 bottles for $20.23 + shipping's on us!,6879412,LS,
Paid Search_NewYearNewMe,62651GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,28.95,28.95,35,1/2/2023,1/14/2023,"New Year, New Me! Get 4 bottles of no-sugar wine for $28.95 + shipping's on us!",6879419,LS,
Paid Search_WinterBlowOut_Shopping,62658GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/12/2022,12/17/2022,Winter Blow Out! Get 4 bottles for $24.95 + shipping's on us!,6879371,KP,
Paid Search_OOOSpecial_Shopping,62659GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/26/2022,12/31/2022,Out of Office Special! Get 4 bottles for $24.95 + shipping's on us!,6879377,KP,
Paid Search_NewYearsDay_Shopping,62660GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,20.23,20.23,43.72,1/1/2023,1/1/2023,New Year's Day Special! Get 4 bottles for $20.23 + shipping's on us!,6879383,KP,
Paid Search_NewYearNewMe_Shopping,62661GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,28.95,28.95,35,1/2/2023,1/14/2023,"New Year, New Me! Get 4 bottles of no-sugar wine for $28.95 + shipping's on us!",6879386,KP,
Paid Search_BFCM,62667GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,22.95,22.95,41,11/24/2022,12/3/2022,Black Friday Weekend Special! Get 4 bottles for $22.95 + shipping's on us!,6879425,KP,
Paid Search_WinterBlowOut,62668GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/12/2022,12/17/2022,Winter Blow Out! Get 4 bottles for $24.95 + shipping's on us!,6879432,KP,
Paid Search_OOOSpecial,62669GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/26/2022,12/31/2022,Out of Office Special! Get 4 bottles for $24.95 + shipping's on us!,6879436,KP,
Paid Search_NewYearsDay,62670GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,20.23,20.23,43.72,1/1/2023,1/1/2023,New Year's Day Special! Get 4 bottles for $20.23 + shipping's on us!,6879440,KP,
Paid Search_NewYearNewMe,62671GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,28.95,28.95,35,1/2/2023,1/14/2023,"New Year, New Me! Get 4 bottles of no-sugar wine for $28.95 + shipping's on us!",6879446,KP,
Paid Search_Holiday22Placeholder_3,62675GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879438,LS,