Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID
Paid Social_EarlyBlackFridaySpecial,10771FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for $24.95 + shipping's on us!,6878541
Paid Social_BFCM,10772FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,22.95,22.95,41,11/24/2022,12/3/2022,Black Friday Weekend Special! Get 4 bottles for $22.95 + shipping's on us!,6879345
Paid Social_WinterBlowOut,10773FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,12/12/2022,12/17/2022,Winter Blow Out! Get 4 bottles for $24.95 + shipping's on us!,6879351
Paid Social_OOOSpecial,10774FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,24.95,24.95,39,12/26/2022,12/31/2022,Out of Office Special! Get 4 bottles for $24.95 + shipping's on us!,6879359
Paid Social_NewYearsDay,10775FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,20.23,20.23,43.72,1/1/2023,1/1/2023,New Year's Day Special! Get 4 bottles for $20.23 + shipping's on us!,6879365
Paid Social_NewYearNewMe,10776FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,28.95,28.95,35,1/2/2023,1/14/2023,New Year#comma# New Me! Get 4 bottles of no-sugar wine for $28.95 + shipping's on us!,6879371
Paid Social_Holiday22Placeholder,10777FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879375
Paid Social_Holiday22Placeholder_1,10778FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879378
Paid Social_Holiday22Placeholder_2,10779FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879382
Paid Social_Holiday22Placeholder_3,10780FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879384
Paid Search_EarlyBlackFridaySpecial,62646GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for $24.95 + shipping's on us!,6879389
Paid Search_BFCM,62647GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,22.95,22.95,41,11/24/2022,12/3/2022,Black Friday Weekend Special! Get 4 bottles for $22.95 + shipping's on us!,6879395
Paid Search_WinterBlowOut,62648GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/12/2022,12/17/2022,Winter Blow Out! Get 4 bottles for $24.95 + shipping's on us!,6879401
Paid Search_OOOSpecial,62649GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/26/2022,12/31/2022,Out of Office Special! Get 4 bottles for $24.95 + shipping's on us!,6879404
Paid Search_NewYearsDay,62650GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,20.23,20.23,43.72,1/1/2023,1/1/2023,New Year's Day Special! Get 4 bottles for $20.23 + shipping's on us!,6879412
Paid Search_NewYearNewMe,62651GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,28.95,28.95,35,1/2/2023,1/14/2023,New Year#comma# New Me! Get 4 bottles of no-sugar wine for $28.95 + shipping's on us!,6879419
Paid Search_Holiday22Placeholder,62652GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879421
Paid Search_Holiday22Placeholder_1,62653GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879424
Paid Search_Holiday22Placeholder_2,62654GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879427
Paid Search_Holiday22Placeholder_3,62655GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879431
Paid Search_EarlyBlackFridaySpecial_Shopping,62656GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for $24.95 + shipping's on us!,6879434
Paid Search_BFCM_Shopping,62657GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,22.95,22.95,41,11/24/2022,12/3/2022,Black Friday Weekend Special! Get 4 bottles for $22.95 + shipping's on us!,6879365
Paid Search_WinterBlowOut_Shopping,62658GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/12/2022,12/17/2022,Winter Blow Out! Get 4 bottles for $24.95 + shipping's on us!,6879371
Paid Search_OOOSpecial_Shopping,62659GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/26/2022,12/31/2022,Out of Office Special! Get 4 bottles for $24.95 + shipping's on us!,6879377
Paid Search_NewYearsDay_Shopping,62660GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,20.23,20.23,43.72,1/1/2023,1/1/2023,New Year's Day Special! Get 4 bottles for $20.23 + shipping's on us!,6879383
Paid Search_NewYearNewMe_Shopping,62661GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,28.95,28.95,35,1/2/2023,1/14/2023,New Year#comma# New Me! Get 4 bottles of no-sugar wine for $28.95 + shipping's on us!,6879386
Paid Search_Holiday22Placeholder_Shopping,62662GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879394
Paid Search_Holiday22Placeholder_1_Shopping,62663GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879401
Paid Search_Holiday22Placeholder_2_Shopping,62664GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879410
Paid Search_Holiday22Placeholder_3_Shopping,62665GA,Winc,Non-Gifting,Paid Search - Non-Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879416
Paid Search_EarlyBlackFridaySpecial,62666GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for $24.95 + shipping's on us!,6879422
Paid Search_BFCM,62667GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,22.95,22.95,41,11/24/2022,12/3/2022,Black Friday Weekend Special! Get 4 bottles for $22.95 + shipping's on us!,6879425
Paid Search_WinterBlowOut,62668GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/12/2022,12/17/2022,Winter Blow Out! Get 4 bottles for $24.95 + shipping's on us!,6879432
Paid Search_OOOSpecial,62669GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,24.95,24.95,39,12/26/2022,12/31/2022,Out of Office Special! Get 4 bottles for $24.95 + shipping's on us!,6879436
Paid Search_NewYearsDay,62670GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,20.23,20.23,43.72,1/1/2023,1/1/2023,New Year's Day Special! Get 4 bottles for $20.23 + shipping's on us!,6879440
Paid Search_NewYearNewMe,62671GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,28.95,28.95,35,1/2/2023,1/14/2023,New Year#comma# New Me! Get 4 bottles of no-sugar wine for $28.95 + shipping's on us!,6879446
Paid Search_Holiday22Placeholder,62672GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879449
Paid Search_Holiday22Placeholder_1,62673GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879447
Paid Search_Holiday22Placeholder_2,62674GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6879443
Paid Search_Holiday22Placeholder_3,62675GA,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,62675GA
Paid Social_No Sugar LP Test,10781FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,10/6/2022,12/31/2022,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6889174
Influencer: Internal: Jen Reed,jenreed,Winc,Non-Gifting,NA,Influencers,Dynamic Discount,10000,24.95,24.95,39,07/26/2022,12/31/2030,Get 4 bottles for just $24.95! Discount applied at checkout.,5926680
Growth Partner: ROKT Early BF Special,RoktxEarlyBF,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,24.95,24.95,39,11/14/2022,11/23/2022,Early Black Friday Special! Get 4 bottles for just $24.95! Discount applied at checkout.,6333488
Growth Partner: ROKT Black Friday,RoktxBF,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,22.95,22.95,41,11/24/2022,11/26/2022,Black Friday Special! Get 4 bottles for just $22.95! Discount applied at checkout.,6333495
Growth Partner: ROKT Cyber Monday,RoktxCyberMonday,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,22.95,22.95,41,11/27/2022,12/3/2022,Cyber Monday Special! Get 4 bottles for just $22.95! Discount applied at checkout.,6879465
Growth Partner: ROKT Winter Special,RoktxWinterSpecial,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,24.95,24.95,39,12/12/2022,12/17/2022,Winter Special! Get 4 bottles for just $22.95! Discount applied at checkout.,6879469
Growth Partner: ROKT OOO Special,RoktxOOOSpecial,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,24.95,24.95,39,12/25/2022,12/31/2022,Out of Office Special! Get 4 bottles for just $24.95! Discount applied at checkout.,6879474
Growth Partner: ROKT New Year's Day,RoktxNewYear,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,20.23,20.23,42,1/1/2023,1/1/2023,New Year's Day Special! Get 4 bottles for just $20.23! Discount applied at checkout.,6333527
Growth Partner: ROKT New Year#comma# New Me,RoktxNewMe,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,28.95,28.95,35,1/2/2023,1/14/2023,New Year#comma# New Me Special! Get 4 bottles for just $28.95! Discount applied at checkout.,6879482
Growth Partner: Holiday Special,HolidayPartnerSpecial,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,24.95,24.95,39,11/1/2022,12/31/2022,Get 4 bottles for just $24.95! Discount applied at checkout.,6879478
Growth Partner: Exclusive for you,WincxPartnerSpecial,Winc,Non-Gifting,NA,Growth Partnerships,Dynamic Discount,10000,24.95,24.95,39,11/1/2022,12/31/2022,Get 4 bottles for just $24.95! Discount applied at checkout.,6879470
SLM Q4 Campaign,drinkwinc2022,Winc,Non-Gifting,Direct Mail,NA,Dynamic Discount,10000,29.95,29.95,34,11/1/2022,1/15/2023,New member offer! Get 4 bottles for $29.95 + shipping's on us.,6879453
SLM Q4 Campaign 2,trywinc2022,Winc,Non-Gifting,Direct Mail,NA,Dynamic Discount,10000,24.95,24.95,39,11/1/2022,12/31/2022,New member offer! Get 4 bottles for $24.95 + shipping's on us.,6879458
SLM Q4 Campaign 3,winc2022,Winc,Non-Gifting,Direct Mail,NA,Dynamic Discount,10000,24.95,24.95,39,11/1/2022,12/31/2022,New member offer! Get 4 bottles for $24.95 + shipping's on us.,6889175
[Member] Holiday Hoster 12-Pack 2022 ,FALL2022,Winc,Non-Gifting,Email,,Percentage Off,10000,,5%,,11/1/2022,11/11/2022,Fresh for Fall: Our new 12-pack. Save 15% today! Use code FALL2022,6878563
[Member] Early BF Mix&Match,BOYB15,Winc,Non-Gifting,Email,,Percentage Off,10000,,5%,,11/21/2022,11/24/2022,Black Friday starts NOW!. Take 15% off 12 Bottles with code BYOB15. ,20796887
[Member] BF/CM Mix&Match,BYOB20,Winc,Non-Gifting,Email,,Percentage Off,10000,,10%,,11/25/2022,11/29/2022,Our Biggest Discount of the Year. Take 20% off 12 Bottles with code BYOB20. ,20796903
[Member] Let It Flow 12-Pack 2022 ,LETITFLOW15,Winc,Non-Gifting,Email,,Percentage Off,10000,,5%,,12/6/2022,12/17/2022,Save 15% on our ‘Let It Flow’ 12-pack with code LETITFLOW15. ,20796931
[Non-Member] Gifting#comma# Phase I,WINEGIFT22,Winc,Gifting,Email,,Percentage Off,10000,,15% off $150+,,11/07/2022,12/4/2022,,6889893
[Non-Member] Early BF,EARLYBF2022,Winc,Non-Gifting,Email,,Dynamic Discount,10000,24.95,24.95,39.00,11/14/2022,11/23/2022,Black Friday starts NOW! Use promo code EARLYBF2022 at checkout.,6879390
[Non-Member] Black Friday ,BFRIDAY2022,Winc,Non-Gifting,Email,,Dynamic Discount,10000,22.95,22.95,42.00,11/24/2022,11/25/2022,Black Friday is ON! Use promo code BFRIDAY2022 at checkout.,6879393
[Non-Member] Cyber Week ,CYBERSTOCK22,Winc,Non-Gifting,Email,,Dynamic Discount,10000,22.95,22.95,42.00,11/27/2022,12/03/2022,Cyber Week came EARLY! Use promo code CYBERSTOCK22 at checkout.,6879399
