Campaign Name,Campaign Tag/Coupon Code,Brand,Category,Channel,Platform,Coupon Type,Max Uses,Minimum Subtotal,Discount Amount,Max Discount,Start Date,Expiration Date,Violator Copy,CAID,Notes,URL
Paid Social_Feb Testing Placeholder 1 ,10100FB,,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,2/23/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6958086,KP,
Paid Social_Feb Testing Placeholder 2,10102FB,,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,2/24/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6958087,KP,
Paid Social_Feb Testing Placeholder 3,10103FB,,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,2/25/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6958088,KP,
Paid Social_Feb Testing Placeholder 4,10104FB,,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,2/26/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6958089,KP,
Paid Social_Feb GMB Testing Placeholder 1 ,10100GMB,,Non-Gifting,Paid Social,Google,Dynamic Discount,10000,29.95,29.95,34,3/7/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6959979,LS,
Paid Social_Feb GMB Testing Placeholder 2,10102GMB,,Non-Gifting,Paid Social,Google,Dynamic Discount,10000,29.95,29.95,34,3/8/20223,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6959980,LS,
Paid Social_Feb GMB Testing Placeholder 3,10103GMB,,Non-Gifting,Paid Social,Google,Dynamic Discount,10000,29.95,29.95,34,3/9/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6959981,LS,
Paid Social_Feb GMB Testing Placeholder 4,10104GM,,Non-Gifting,Paid Social,Google,Dynamic Discount,10000,29.95,29.95,34,3/10/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6959982,LS,
NoSugar1_Balloon,10105FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,3/20/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6961153,KP,
NoSugar2_DitchSugar,10106FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,3/20/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6961154,KP,
NoSugar3_SipSweet,10107FB,Winc,Non-Gifting,Paid Social,Facebook,Dynamic Discount,10000,29.95,29.95,34,3/20/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6961155,KP,
PaidSearch_Generic1,10110G,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,34,3/20/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6961629,LS,
PaidSearch_Generic2,10111G,Winc,Non-Gifting,Paid Search - Brand,Google,Dynamic Discount,10000,29.95,29.95,34,3/20/2023,12/31/2023,New Member Offer! Get 4 bottles for $29.95 + shipping's on us!,6961631,LS,